subj_ident,paper,currency,rt,choice,val_diff_usd,time_diff_days,trial_pos,quartile,n_subj_trials
003_0001,Amasino_2019,USD,4.80457422128529,1,6.0,365,1,Q1,141
003_0001,Amasino_2019,USD,1.34103984822286,1,7.0,365,2,Q1,141
003_0001,Amasino_2019,USD,1.8311447326123,1,2.5,30,3,Q1,141
003_0001,Amasino_2019,USD,1.57682491144806,1,6.5,7,4,Q1,141
003_0001,Amasino_2019,USD,1.69894632618525,1,3.0,15,5,Q1,141
003_0001,Amasino_2019,USD,1.86156014965672,1,9.5,180,6,Q1,141
003_0001,Amasino_2019,USD,2.77203515566362,1,3.0,1,7,Q1,141
003_0001,Amasino_2019,USD,2.590511351038,0,1.0,365,8,Q1,141
003_0001,Amasino_2019,USD,2.70538851298625,1,9.0,15,9,Q1,141
003_0001,Amasino_2019,USD,2.11128733554506,1,7.0,15,10,Q1,141
003_0001,Amasino_2019,USD,1.5399694206717,1,2.5,90,11,Q1,141
003_0001,Amasino_2019,USD,1.07876155214035,1,9.25,15,12,Q1,141
003_0001,Amasino_2019,USD,0.929400080596679,1,9.25,365,13,Q1,141
003_0001,Amasino_2019,USD,1.60816646265448,1,5.0,1,14,Q1,141
003_0001,Amasino_2019,USD,1.2206408981292,1,4.5,7,15,Q1,141
003_0001,Amasino_2019,USD,1.66438322875183,1,5.5,1,16,Q1,141
003_0001,Amasino_2019,USD,1.75964222483162,1,2.0,7,17,Q1,141
003_0001,Amasino_2019,USD,1.22446014497837,1,8.0,1,18,Q1,141
003_0001,Amasino_2019,USD,1.53591894212877,1,8.5,1,19,Q1,141
003_0001,Amasino_2019,USD,1.1258561382856,1,9.5,1,20,Q1,141
003_0001,Amasino_2019,USD,3.04228973691352,1,0.5,30,21,Q1,141
003_0001,Amasino_2019,USD,1.65752838700428,1,6.0,180,22,Q1,141
003_0001,Amasino_2019,USD,1.01073808486399,1,8.5,365,23,Q1,141
003_0001,Amasino_2019,USD,0.957792069602874,1,2.5,1,24,Q1,141
003_0001,Amasino_2019,USD,1.36767797821085,1,6.5,1,25,Q1,141
003_0001,Amasino_2019,USD,1.40915689492249,1,5.0,7,26,Q1,141
003_0001,Amasino_2019,USD,1.15911697273259,1,5.5,7,27,Q1,141
003_0001,Amasino_2019,USD,2.59246172678831,1,5.5,15,28,Q1,141
003_0001,Amasino_2019,USD,1.19357954776206,1,9.5,30,29,Q1,141
003_0001,Amasino_2019,USD,1.13433322415222,1,9.5,365,30,Q1,141
003_0001,Amasino_2019,USD,1.12904568636441,1,6.0,30,31,Q1,141
003_0001,Amasino_2019,USD,0.923458996374393,1,6.0,7,32,Q1,141
003_0001,Amasino_2019,USD,1.07450791576412,1,4.0,180,33,Q1,141
003_0001,Amasino_2019,USD,1.1154169037618,1,9.25,1,34,Q1,141
003_0001,Amasino_2019,USD,0.8604076137417,1,5.0,30,35,Q1,141
003_0001,Amasino_2019,USD,0.867440256348345,1,2.0,15,36,Q1,141
003_0001,Amasino_2019,USD,1.62814083397097,1,9.0,180,37,Q2,141
003_0001,Amasino_2019,USD,1.46704269484326,1,5.0,90,38,Q2,141
003_0001,Amasino_2019,USD,1.05943589736125,1,7.5,365,39,Q2,141
003_0001,Amasino_2019,USD,1.46015132694447,1,3.5,7,40,Q2,141
003_0001,Amasino_2019,USD,2.09443911981361,1,2.5,7,41,Q2,141
003_0001,Amasino_2019,USD,1.27613076362468,1,1.0,1,42,Q2,141
003_0001,Amasino_2019,USD,1.54796744040505,1,8.0,180,43,Q2,141
003_0001,Amasino_2019,USD,2.2661681802856,1,5.5,365,44,Q2,141
003_0001,Amasino_2019,USD,0.94478664653434,1,8.5,90,45,Q2,141
003_0001,Amasino_2019,USD,1.2140332870913,1,9.0,30,46,Q2,141
003_0001,Amasino_2019,USD,1.29117833063356,1,2.0,1,47,Q2,141
003_0001,Amasino_2019,USD,0.767390900771716,1,9.0,1,48,Q2,141
003_0001,Amasino_2019,USD,0.937440060137305,1,4.5,90,49,Q2,141
003_0001,Amasino_2019,USD,2.29100415221183,1,4.0,30,50,Q2,141
003_0001,Amasino_2019,USD,0.642284001398366,1,3.5,180,51,Q2,141
003_0001,Amasino_2019,USD,2.71671011064609,1,0.5,90,52,Q2,141
003_0001,Amasino_2019,USD,1.33232700263034,1,8.0,15,53,Q2,141
003_0001,Amasino_2019,USD,1.87415321965818,1,9.5,90,54,Q2,141
003_0001,Amasino_2019,USD,1.31912385534088,1,0.5,7,55,Q2,141
003_0001,Amasino_2019,USD,1.03993908283883,1,1.0,7,56,Q2,141
003_0001,Amasino_2019,USD,1.4319797023345,1,7.5,30,57,Q2,141
003_0001,Amasino_2019,USD,0.997684664602275,1,3.0,7,58,Q2,141
003_0001,Amasino_2019,USD,3.15052547850064,1,7.0,7,59,Q2,141
003_0001,Amasino_2019,USD,0.956599385099253,1,8.0,7,60,Q2,141
003_0001,Amasino_2019,USD,0.972525089091505,1,7.0,1,61,Q2,141
003_0001,Amasino_2019,USD,0.887396515521687,1,0.5,1,62,Q2,141
003_0001,Amasino_2019,USD,1.20087783511553,1,4.0,365,63,Q2,141
003_0001,Amasino_2019,USD,0.95525244550663,1,1.0,180,64,Q2,141
003_0001,Amasino_2019,USD,0.630102077018819,1,9.5,7,65,Q2,141
003_0001,Amasino_2019,USD,0.825430653887452,1,4.5,365,66,Q2,141
003_0001,Amasino_2019,USD,0.619921242367127,1,3.0,30,67,Q2,141
003_0001,Amasino_2019,USD,0.586660106055206,1,5.5,90,68,Q2,141
003_0001,Amasino_2019,USD,0.720949257331085,1,7.5,7,69,Q2,141
003_0001,Amasino_2019,USD,0.824790993443457,1,1.5,7,70,Q2,141
003_0001,Amasino_2019,USD,0.757232404430397,1,9.0,7,71,Q2,141
003_0001,Amasino_2019,USD,0.851140536629828,1,2.0,365,72,Q3,141
003_0001,Amasino_2019,USD,0.882718451277469,1,1.0,30,73,Q3,141
003_0001,Amasino_2019,USD,2.43037858903699,1,1.5,30,74,Q3,141
003_0001,Amasino_2019,USD,1.92587243921298,1,0.5,180,75,Q3,141
003_0001,Amasino_2019,USD,1.18097319554363,1,7.0,30,76,Q3,141
003_0001,Amasino_2019,USD,1.44700070486579,1,9.0,90,77,Q3,141
003_0001,Amasino_2019,USD,2.24285211888491,1,6.5,90,78,Q3,141
003_0001,Amasino_2019,USD,0.846351082727779,1,8.0,30,79,Q3,141
003_0001,Amasino_2019,USD,0.751025977326208,1,6.5,15,80,Q3,141
003_0001,Amasino_2019,USD,0.65672269857896,1,9.5,15,81,Q3,141
003_0001,Amasino_2019,USD,0.552329447775264,1,3.5,30,82,Q3,141
003_0001,Amasino_2019,USD,0.601542550706654,1,1.5,90,83,Q3,141
003_0001,Amasino_2019,USD,0.816209159005666,1,8.5,30,84,Q3,141
003_0001,Amasino_2019,USD,0.631260348454816,1,4.0,7,85,Q3,141
003_0001,Amasino_2019,USD,1.17412831546972,1,5.0,365,86,Q3,141
003_0001,Amasino_2019,USD,0.738036251452286,1,0.5,15,87,Q3,141
003_0001,Amasino_2019,USD,0.838136019156082,1,3.5,90,88,Q3,141
003_0001,Amasino_2019,USD,0.844499720013118,1,8.0,365,89,Q3,141
003_0001,Amasino_2019,USD,0.612982179154642,1,8.5,15,90,Q3,141
003_0001,Amasino_2019,USD,0.799086846207501,1,7.5,1,91,Q3,141
003_0001,Amasino_2019,USD,1.44242980414128,1,2.0,180,92,Q3,141
003_0001,Amasino_2019,USD,0.966911532756058,1,5.5,30,93,Q3,141
003_0001,Amasino_2019,USD,0.680997194140218,1,2.5,15,94,Q3,141
003_0001,Amasino_2019,USD,0.855067550743115,1,6.0,15,95,Q3,141
003_0001,Amasino_2019,USD,1.0969108233694,1,7.5,180,96,Q3,141
003_0001,Amasino_2019,USD,2.64065149372618,1,3.5,365,97,Q3,141
003_0001,Amasino_2019,USD,0.891786898573628,1,2.5,180,98,Q3,141
003_0001,Amasino_2019,USD,0.770988877644413,1,6.5,180,99,Q3,141
003_0001,Amasino_2019,USD,0.824630399118178,1,4.0,90,100,Q3,141
003_0001,Amasino_2019,USD,0.607448316251975,1,1.0,15,101,Q3,141
003_0001,Amasino_2019,USD,0.668230247567408,1,8.5,180,102,Q3,141
003_0001,Amasino_2019,USD,0.516590268642176,1,0.5,365,103,Q3,141
003_0001,Amasino_2019,USD,0.539655778760789,1,4.5,180,104,Q3,141
003_0001,Amasino_2019,USD,0.644759629241889,1,5.0,30,105,Q3,141
003_0001,Amasino_2019,USD,0.670121456991183,1,3.0,90,106,Q3,141
003_0001,Amasino_2019,USD,0.865372151674819,1,4.5,30,107,Q4,141
003_0001,Amasino_2019,USD,0.830328780633863,1,1.5,180,108,Q4,141
003_0001,Amasino_2019,USD,0.651420671085361,1,9.25,7,109,Q4,141
003_0001,Amasino_2019,USD,0.580149696848821,1,7.0,90,110,Q4,141
003_0001,Amasino_2019,USD,0.571835922120954,1,3.5,1,111,Q4,141
003_0001,Amasino_2019,USD,0.867729145000339,1,4.0,1,112,Q4,141
003_0001,Amasino_2019,USD,0.571538581119967,1,4.5,1,113,Q4,141
003_0001,Amasino_2019,USD,0.54630384023767,1,3.0,180,114,Q4,141
003_0001,Amasino_2019,USD,0.579475623322651,1,3.0,365,115,Q4,141
003_0001,Amasino_2019,USD,0.585889736292302,1,6.5,30,116,Q4,141
003_0001,Amasino_2019,USD,0.602785647337441,1,7.5,90,117,Q4,141
003_0001,Amasino_2019,USD,0.657088865700644,1,8.5,7,118,Q4,141
003_0001,Amasino_2019,USD,0.711540301781497,1,9.25,30,119,Q4,141
003_0001,Amasino_2019,USD,0.741255684566568,1,2.0,90,120,Q4,141
003_0001,Amasino_2019,USD,0.630407266580733,1,9.25,180,121,Q4,141
003_0001,Amasino_2019,USD,0.681535728464951,1,5.5,180,122,Q4,141
003_0001,Amasino_2019,USD,0.485776988221915,1,3.5,15,123,Q4,141
003_0001,Amasino_2019,USD,0.737350706898724,1,8.0,90,124,Q4,141
003_0001,Amasino_2019,USD,1.22243641506066,1,6.0,90,125,Q4,141
003_0001,Amasino_2019,USD,0.823153353994712,1,7.0,180,126,Q4,141
003_0001,Amasino_2019,USD,0.821511488393298,1,1.5,365,127,Q4,141
003_0001,Amasino_2019,USD,0.757954777000123,1,5.0,15,128,Q4,141
003_0001,Amasino_2019,USD,1.71209513704525,0,0.0,1,129,Q4,141
003_0001,Amasino_2019,USD,1.96532792787184,1,1.5,15,130,Q4,141
003_0001,Amasino_2019,USD,2.76328276524146,1,6.5,365,131,Q4,141
003_0001,Amasino_2019,USD,3.85480371721496,1,1.5,1,132,Q4,141
003_0001,Amasino_2019,USD,0.903298975608777,1,8.0,7,133,Q4,141
003_0001,Amasino_2019,USD,1.16065922156849,1,4.0,15,134,Q4,141
003_0001,Amasino_2019,USD,0.902997710320051,1,2.0,30,135,Q4,141
003_0001,Amasino_2019,USD,0.72494570130948,1,6.0,1,136,Q4,141
003_0001,Amasino_2019,USD,0.752231642210972,1,9.0,365,137,Q4,141
003_0001,Amasino_2019,USD,1.21742689864186,1,5.0,180,138,Q4,141
003_0001,Amasino_2019,USD,0.853032349798013,1,4.5,15,139,Q4,141
003_0001,Amasino_2019,USD,0.642848194591352,1,7.5,15,140,Q4,141
003_0001,Amasino_2019,USD,1.00098862104642,1,9.25,90,141,Q4,141
003_0002,Amasino_2019,USD,5.70430540695088,1,9.5,90,1,Q1,138
003_0002,Amasino_2019,USD,4.52232064830605,1,3.5,15,2,Q1,138
