,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t_1|participant_id_offset[0],0.61,0.424,-0.16,1.39,0.017,0.01,591.0,1258.0,1.0
t_1|participant_id_offset[1],-0.946,0.406,-1.685,-0.179,0.013,0.009,1029.0,1335.0,1.0
t_1|participant_id_offset[2],-0.272,0.31,-0.865,0.313,0.013,0.007,541.0,1074.0,1.0
t_1|participant_id_offset[3],0.253,0.413,-0.529,1.022,0.017,0.009,599.0,1153.0,1.0
t_1|participant_id_offset[4],-1.731,0.425,-2.505,-0.95,0.014,0.009,883.0,1323.0,1.0
t_1|participant_id_offset[5],-1.307,0.384,-2.012,-0.584,0.013,0.009,937.0,1222.0,1.0
t_1|participant_id_offset[6],-0.954,0.374,-1.677,-0.262,0.013,0.009,773.0,1097.0,1.0
t_1|participant_id_offset[7],1.027,0.42,0.199,1.751,0.02,0.008,443.0,1001.0,1.0
t_1|participant_id_offset[8],0.499,0.401,-0.219,1.272,0.016,0.009,631.0,1161.0,1.0
t_1|participant_id_offset[9],-1.215,0.437,-2.031,-0.444,0.014,0.012,1023.0,1143.0,1.0
t_1|participant_id_offset[10],1.539,0.483,0.598,2.385,0.022,0.01,486.0,879.0,1.0
t_1|participant_id_offset[11],0.055,0.569,-0.976,1.124,0.018,0.016,1053.0,1014.0,1.0
t_1|participant_id_offset[12],-0.623,0.35,-1.306,0.027,0.013,0.008,689.0,1150.0,1.0
t_1|participant_id_offset[13],-0.085,0.426,-0.839,0.763,0.015,0.009,846.0,1313.0,1.0
t_1|participant_id[0],0.242,0.16,-0.056,0.531,0.006,0.004,707.0,1275.0,1.0
t_1|participant_id[1],-0.392,0.171,-0.723,-0.094,0.006,0.004,785.0,1313.0,1.0
t_1|participant_id[2],-0.116,0.133,-0.376,0.125,0.006,0.003,459.0,1091.0,1.0
t_1|participant_id[3],0.097,0.165,-0.19,0.432,0.007,0.004,599.0,1211.0,1.0
t_1|participant_id[4],-0.71,0.163,-1.04,-0.414,0.007,0.004,584.0,1145.0,1.0
t_1|participant_id[5],-0.537,0.153,-0.805,-0.238,0.006,0.003,595.0,1226.0,1.0
t_1|participant_id[6],-0.394,0.156,-0.687,-0.106,0.007,0.004,568.0,847.0,1.0
t_1|participant_id[7],0.41,0.141,0.141,0.683,0.006,0.003,487.0,1031.0,1.0
t_1|participant_id[8],0.195,0.152,-0.082,0.487,0.006,0.003,632.0,1145.0,1.0
t_1|participant_id[9],-0.501,0.18,-0.859,-0.195,0.007,0.004,665.0,1189.0,1.0
t_1|participant_id[10],0.618,0.144,0.343,0.894,0.006,0.003,671.0,1154.0,1.0
t_1|participant_id[11],0.017,0.234,-0.379,0.512,0.008,0.006,990.0,1146.0,1.0
t_1|participant_id[12],-0.259,0.149,-0.533,0.026,0.007,0.003,512.0,1150.0,1.0
t_1|participant_id[13],-0.04,0.174,-0.359,0.288,0.006,0.003,761.0,1330.0,1.0
t_Intercept,-0.466,0.114,-0.674,-0.248,0.006,0.003,361.0,753.0,1.0
t_1|participant_id_sigma,0.421,0.088,0.275,0.583,0.003,0.002,654.0,794.0,1.0
sv,0.216,0.121,0.002,0.405,0.004,0.002,970.0,681.0,1.0
a_1|participant_id_sigma,0.451,0.111,0.279,0.66,0.005,0.005,449.0,699.0,1.01
