,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_1|participant_id[0],0.128,0.071,-0.003,0.259,0.004,0.002,382.0,697.0,1.01
a_1|participant_id[1],-0.034,0.07,-0.175,0.084,0.004,0.002,351.0,722.0,1.02
a_1|participant_id[2],-0.282,0.069,-0.402,-0.149,0.004,0.002,329.0,616.0,1.02
a_1|participant_id[3],0.104,0.071,-0.025,0.233,0.004,0.002,376.0,688.0,1.01
a_1|participant_id[4],-0.456,0.069,-0.588,-0.329,0.004,0.002,325.0,603.0,1.02
a_1|participant_id[5],-0.269,0.069,-0.403,-0.146,0.004,0.002,327.0,631.0,1.02
a_1|participant_id[6],-0.3,0.068,-0.428,-0.173,0.004,0.002,318.0,666.0,1.02
a_1|participant_id[7],-0.058,0.069,-0.193,0.067,0.004,0.002,350.0,576.0,1.02
a_1|participant_id[8],0.088,0.071,-0.049,0.214,0.004,0.002,384.0,677.0,1.01
a_1|participant_id[9],-0.031,0.07,-0.167,0.095,0.004,0.002,342.0,677.0,1.02
a_1|participant_id[10],0.151,0.073,0.018,0.286,0.004,0.002,387.0,802.0,1.01
a_1|participant_id[11],0.291,0.074,0.156,0.429,0.004,0.002,426.0,829.0,1.01
a_1|participant_id[12],-0.166,0.07,-0.3,-0.036,0.004,0.002,351.0,631.0,1.01
a_1|participant_id[13],0.165,0.072,0.033,0.297,0.004,0.002,381.0,714.0,1.01
z,0.507,0.009,0.49,0.524,0.0,0.0,1228.0,1207.0,1.0
t,0.315,0.008,0.3,0.331,0.0,0.0,1463.0,1415.0,1.0
v_1|participant_id[0],-0.309,0.11,-0.51,-0.102,0.005,0.003,388.0,670.0,1.01
v_1|participant_id[1],0.323,0.121,0.09,0.542,0.006,0.003,450.0,971.0,1.01
v_1|participant_id[2],0.186,0.131,-0.06,0.416,0.005,0.003,573.0,1091.0,1.01
v_1|participant_id[3],-0.276,0.115,-0.511,-0.072,0.005,0.003,530.0,718.0,1.0
v_1|participant_id[4],0.776,0.157,0.506,1.095,0.005,0.003,948.0,1341.0,1.0
v_1|participant_id[5],0.143,0.124,-0.105,0.361,0.005,0.004,582.0,888.0,1.01
v_1|participant_id[6],0.083,0.13,-0.161,0.329,0.005,0.004,708.0,956.0,1.0
v_1|participant_id[7],-0.426,0.117,-0.634,-0.187,0.005,0.003,639.0,776.0,1.0
v_1|participant_id[8],0.099,0.114,-0.108,0.309,0.005,0.003,516.0,935.0,1.01
v_1|participant_id[9],-0.191,0.122,-0.42,0.036,0.005,0.003,617.0,848.0,1.0
v_1|participant_id[10],0.166,0.114,-0.042,0.378,0.005,0.003,568.0,1116.0,1.0
v_1|participant_id[11],0.193,0.112,-0.029,0.394,0.005,0.003,503.0,827.0,1.01
v_1|participant_id[12],0.271,0.125,0.034,0.499,0.005,0.003,701.0,1040.0,1.0
v_1|participant_id[13],-0.204,0.11,-0.429,-0.016,0.005,0.003,513.0,834.0,1.0
sa,0.079,0.059,0.0,0.186,0.002,0.001,1014.0,749.0,1.0
sv,0.398,0.116,0.191,0.619,0.006,0.007,621.0,227.0,1.01
v_1|participant_id_offset[0],-0.957,0.394,-1.703,-0.243,0.019,0.01,434.0,788.0,1.0
v_1|participant_id_offset[1],0.974,0.37,0.25,1.652,0.015,0.009,615.0,895.0,1.01
v_1|participant_id_offset[2],0.557,0.387,-0.23,1.219,0.015,0.009,629.0,1003.0,1.01
v_1|participant_id_offset[3],-0.851,0.396,-1.585,-0.149,0.019,0.01,449.0,895.0,1.0
v_1|participant_id_offset[4],2.344,0.52,1.392,3.318,0.019,0.01,785.0,1151.0,1.0
v_1|participant_id_offset[5],0.423,0.367,-0.247,1.136,0.014,0.01,682.0,923.0,1.0
v_1|participant_id_offset[6],0.241,0.378,-0.487,0.955,0.014,0.011,747.0,880.0,1.0
v_1|participant_id_offset[7],-1.31,0.442,-2.113,-0.466,0.021,0.01,455.0,1128.0,1.0
v_1|participant_id_offset[8],0.292,0.337,-0.305,0.951,0.016,0.008,471.0,991.0,1.0
v_1|participant_id_offset[9],-0.592,0.39,-1.382,0.074,0.017,0.009,542.0,952.0,1.0
v_1|participant_id_offset[10],0.494,0.335,-0.16,1.092,0.013,0.008,631.0,1114.0,1.0
v_1|participant_id_offset[11],0.578,0.331,-0.029,1.218,0.015,0.009,500.0,827.0,1.01
v_1|participant_id_offset[12],0.818,0.383,0.132,1.565,0.014,0.009,728.0,845.0,1.0
v_1|participant_id_offset[13],-0.634,0.362,-1.406,-0.045,0.017,0.011,463.0,969.0,1.0
a_1|participant_id_offset[0],0.567,0.335,-0.126,1.118,0.019,0.01,321.0,689.0,1.02
a_1|participant_id_offset[1],-0.131,0.282,-0.607,0.404,0.015,0.008,346.0,788.0,1.02
a_1|participant_id_offset[2],-1.205,0.322,-1.799,-0.578,0.016,0.008,429.0,706.0,1.0
a_1|participant_id_offset[3],0.465,0.327,-0.124,1.076,0.018,0.01,321.0,655.0,1.02
a_1|participant_id_offset[4],-1.959,0.419,-2.748,-1.195,0.02,0.012,438.0,712.0,1.0
a_1|participant_id_offset[5],-1.149,0.313,-1.712,-0.574,0.015,0.008,422.0,802.0,1.0
a_1|participant_id_offset[6],-1.282,0.325,-1.91,-0.696,0.016,0.009,430.0,704.0,1.0
a_1|participant_id_offset[7],-0.233,0.275,-0.755,0.276,0.015,0.008,355.0,654.0,1.02
a_1|participant_id_offset[8],0.396,0.32,-0.215,0.971,0.018,0.009,334.0,609.0,1.02
a_1|participant_id_offset[9],-0.12,0.283,-0.637,0.419,0.016,0.008,331.0,657.0,1.02
a_1|participant_id_offset[10],0.668,0.355,-0.031,1.284,0.02,0.01,325.0,632.0,1.02
a_1|participant_id_offset[11],1.272,0.434,0.465,2.071,0.024,0.012,316.0,599.0,1.02
a_1|participant_id_offset[12],-0.704,0.285,-1.241,-0.169,0.014,0.008,414.0,780.0,1.01
a_1|participant_id_offset[13],0.729,0.357,0.098,1.436,0.02,0.01,312.0,626.0,1.02
v_Intercept,0.437,0.099,0.23,0.61,0.005,0.003,432.0,464.0,1.0
v_1|participant_id_sigma,0.339,0.069,0.217,0.467,0.003,0.002,456.0,948.0,1.0
a_Intercept,0.985,0.067,0.86,1.111,0.004,0.002,307.0,588.0,1.02
a_1|participant_id_sigma,0.241,0.053,0.155,0.34,0.003,0.002,336.0,589.0,1.01
st,0.559,0.025,0.517,0.6,0.001,0.0,1142.0,865.0,1.0
