,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z,0.536,0.003,0.531,0.542,0.0,0.0,2677.0,1513.0,1.0
v_1|subj_sigma,0.653,0.032,0.595,0.714,0.002,0.001,178.0,399.0,1.03
a_1|subj_offset[003_0001],-0.492,0.379,-1.188,0.22,0.009,0.01,1703.0,1067.0,1.0
a_1|subj_offset[003_0002],1.9,0.467,1.075,2.781,0.011,0.011,1991.0,1429.0,1.0
a_1|subj_offset[003_0003],-0.629,0.291,-1.158,-0.062,0.007,0.007,1760.0,1311.0,1.0
a_1|subj_offset[003_0004],-0.773,0.285,-1.372,-0.283,0.007,0.006,1679.0,1507.0,1.0
a_1|subj_offset[003_0005],-1.316,0.246,-1.785,-0.871,0.007,0.005,1117.0,1556.0,1.0
a_1|subj_offset[003_0006],-0.97,0.457,-1.728,-0.186,0.153,0.009,10.0,450.0,1.16
a_1|subj_offset[003_0007],-0.153,0.336,-0.732,0.502,0.009,0.008,1610.0,1334.0,1.0
a_1|subj_offset[003_0008],0.175,0.249,-0.305,0.644,0.006,0.005,1529.0,1359.0,1.0
a_1|subj_offset[003_0009],1.519,0.364,0.807,2.16,0.009,0.007,1851.0,1481.0,1.0
a_1|subj_offset[003_0010],0.474,0.312,-0.05,1.13,0.007,0.006,1993.0,1398.0,1.0
a_1|subj_offset[003_0011],-2.327,0.224,-2.739,-1.924,0.009,0.005,688.0,951.0,1.0
a_1|subj_offset[003_0012],-0.44,0.232,-0.899,-0.026,0.006,0.005,1639.0,1338.0,1.0
a_1|subj_offset[003_0013],-1.335,0.236,-1.778,-0.908,0.009,0.005,750.0,1260.0,1.0
a_1|subj_offset[003_0014],-1.205,0.419,-1.922,-0.347,0.011,0.015,1590.0,1116.0,1.0
a_1|subj_offset[003_0015],1.309,0.393,0.669,2.116,0.011,0.01,1437.0,1195.0,1.0
a_1|subj_offset[003_0016],2.108,0.575,1.06,3.203,0.013,0.013,2045.0,1603.0,1.0
a_1|subj_offset[003_0017],-0.171,0.256,-0.672,0.279,0.007,0.006,1325.0,1345.0,1.0
a_1|subj_offset[003_0018],4.684,0.56,3.593,5.679,0.012,0.012,2058.0,1485.0,1.0
a_1|subj_offset[003_0019],-1.678,0.343,-2.324,-1.064,0.009,0.008,1485.0,1352.0,1.0
