tag,n_trials,sec,div,max_rhat,min_ess,v_Intercept,v_Intercept_sd,v_val,v_val_sd,v_tim,v_tim_sd,a,a_sd,z,z_sd,t,t_sd,sv,sv_sd,sa,sa_sd,st,st_sd,t0,k,perm
k1_perm001,212,406,0,1.01,296,0.45,0.378,0.134,0.05,-0.004,0.001,2.597,0.272,0.575,0.061,0.237,0.074,0.603,0.483,1.054,0.731,1.553,0.262,1.0135,1,1
k1_perm002,212,489,0,1.01,564,0.048,0.231,0.147,0.035,-0.003,0.001,2.868,0.238,0.673,0.046,0.296,0.064,0.418,0.283,0.992,0.729,1.207,0.125,0.8995,1,2
k1_perm003,212,494,0,1.0,480,0.131,0.257,0.201,0.058,-0.004,0.001,2.785,0.266,0.608,0.051,0.228,0.07,0.57,0.402,1.099,0.747,1.519,0.227,0.9875,1,3
k1_perm004,212,420,0,1.01,376,0.333,0.362,0.218,0.075,-0.003,0.001,2.572,0.328,0.549,0.069,0.301,0.076,0.884,0.558,1.364,0.827,1.475,0.196,1.0385,1,4
k1_perm005,212,465,0,1.0,670,-0.122,0.192,0.255,0.05,-0.003,0.001,2.632,0.21,0.578,0.059,0.298,0.079,0.239,0.201,1.688,0.844,1.557,0.214,1.0765,1,5
k2_perm001,424,1084,0,1.0,524,0.079,0.125,0.145,0.022,-0.002,0.0,2.734,0.143,0.62,0.034,0.294,0.05,0.25,0.175,0.662,0.479,1.156,0.127,0.8719999999999999,2,1
k2_perm002,424,993,0,1.0,293,-0.005,0.182,0.144,0.026,-0.003,0.001,2.539,0.13,0.677,0.044,0.363,0.046,0.24,0.184,0.763,0.605,1.393,0.178,1.0595,2,2
k2_perm003,424,1009,0,1.0,655,-0.082,0.143,0.205,0.033,-0.003,0.001,2.617,0.142,0.635,0.035,0.301,0.046,0.348,0.23,0.666,0.48,1.426,0.116,1.014,2,3
k2_perm004,424,1053,0,1.0,732,0.159,0.146,0.139,0.021,-0.003,0.001,2.565,0.131,0.626,0.035,0.293,0.046,0.227,0.174,0.976,0.618,1.323,0.126,0.9545,2,4
k2_perm005,424,1011,0,1.01,598,0.298,0.169,0.131,0.024,-0.004,0.001,2.506,0.128,0.637,0.035,0.329,0.044,0.282,0.2,0.752,0.549,1.375,0.108,1.0165,2,5
k4_perm001,848,2173,0,1.0,519,0.163,0.112,0.135,0.018,-0.003,0.0,2.49,0.085,0.669,0.022,0.355,0.029,0.262,0.172,0.47,0.347,1.404,0.07,1.057,4,1
k4_perm002,848,2545,0,1.0,872,-0.04,0.084,0.141,0.014,-0.003,0.0,2.603,0.077,0.648,0.02,0.309,0.031,0.099,0.079,0.999,0.52,1.209,0.066,0.9135,4,2
k4_perm003,848,2459,0,1.0,691,0.006,0.093,0.127,0.016,-0.002,0.0,2.599,0.082,0.684,0.019,0.33,0.029,0.181,0.13,0.483,0.354,1.293,0.069,0.9765,4,3
k4_perm004,848,2519,0,1.0,937,-0.086,0.091,0.174,0.017,-0.003,0.0,2.553,0.083,0.642,0.023,0.299,0.033,0.145,0.109,0.552,0.397,1.342,0.091,0.97,4,4
k4_perm005,848,2297,0,1.0,914,0.038,0.086,0.13,0.014,-0.003,0.0,2.542,0.072,0.664,0.02,0.356,0.028,0.138,0.102,0.511,0.367,1.211,0.06,0.9615,4,5
k10_perm001,2120,5870,0,1.0,863,-0.043,0.054,0.146,0.009,-0.002,0.0,2.451,0.044,0.644,0.013,0.316,0.019,0.091,0.068,0.387,0.266,1.373,0.044,1.0025,10,1
k10_perm002,2120,6286,0,1.0,662,-0.012,0.056,0.14,0.009,-0.003,0.0,2.542,0.047,0.661,0.014,0.324,0.02,0.096,0.072,0.327,0.237,1.297,0.047,0.9725,10,2
k10_perm003,2120,6318,0,1.0,679,-0.025,0.059,0.145,0.01,-0.003,0.0,2.535,0.048,0.666,0.013,0.341,0.019,0.116,0.085,0.347,0.248,1.28,0.046,0.981,10,3
k10_perm004,2120,6079,0,1.0,723,0.015,0.053,0.129,0.008,-0.003,0.0,2.603,0.051,0.635,0.015,0.312,0.022,0.08,0.062,0.45,0.3,1.173,0.06,0.8985000000000001,10,4
k10_perm005,2120,5941,0,1.0,496,0.004,0.056,0.141,0.01,-0.003,0.0,2.545,0.054,0.657,0.014,0.342,0.019,0.184,0.115,0.359,0.252,1.268,0.055,0.976,10,5
k50_perm001,10600,34301,0,1.0,651,-0.022,0.024,0.135,0.004,-0.002,0.0,2.537,0.021,0.655,0.006,0.313,0.009,0.042,0.033,0.197,0.141,1.282,0.022,0.954,50,1
k50_perm002,10600,16903,0,1.01,779,-0.015,0.024,0.139,0.004,-0.003,0.0,2.54,0.021,0.646,0.006,0.313,0.009,0.046,0.034,0.196,0.14,1.263,0.023,0.9445,50,2
k50_perm003,10600,16749,0,1.0,775,0.012,0.024,0.134,0.004,-0.003,0.0,2.537,0.021,0.645,0.006,0.303,0.009,0.046,0.035,0.184,0.131,1.296,0.023,0.951,50,3
k50_perm004,10600,17276,0,1.0,680,0.005,0.023,0.133,0.004,-0.003,0.0,2.534,0.021,0.656,0.006,0.323,0.009,0.046,0.035,0.175,0.127,1.283,0.022,0.9645,50,4
k50_perm005,10600,17096,0,1.0,739,-0.02,0.023,0.14,0.004,-0.003,0.0,2.554,0.02,0.658,0.006,0.314,0.009,0.04,0.031,0.171,0.122,1.283,0.022,0.9555,50,5
