tag,n_trials,sec,div,max_rhat,min_ess,v_Intercept,v_Intercept_sd,v_val,v_val_sd,v_tim,v_tim_sd,a,a_sd,z,z_sd,t,t_sd,sv,sv_sd,sa,sa_sd,st,st_sd,t0
subj_003_0001,141,174,0,1.0,529,1.144,0.479,0.068,0.042,-0.001,0.001,3.563,0.774,0.695,0.087,0.348,0.066,0.314,0.279,1.521,0.873,0.146,0.112,0.421
subj_003_0002,138,174,0,1.01,456,0.388,0.261,0.136,0.038,-0.002,0.001,3.912,0.488,0.558,0.08,0.914,0.165,0.244,0.208,1.34,0.837,1.346,0.554,1.5870000000000002
subj_003_0003,119,125,0,1.01,261,1.597,0.737,0.366,0.114,-0.016,0.004,4.481,0.751,0.722,0.069,0.764,0.066,1.06,0.457,1.481,0.894,0.554,0.176,1.041
subj_003_0004,141,136,0,1.0,484,0.395,0.354,0.338,0.085,-0.006,0.002,2.717,0.367,0.527,0.058,0.83,0.059,0.603,0.419,0.961,0.704,0.637,0.156,1.1485
subj_003_0005,141,133,0,1.0,444,1.668,0.614,0.377,0.09,-0.013,0.003,3.35,0.572,0.542,0.056,1.028,0.035,1.071,0.421,0.979,0.719,0.46,0.119,1.258
subj_003_0006,141,128,0,1.0,353,-0.609,0.372,0.532,0.125,-0.006,0.002,2.409,0.3,0.619,0.059,0.508,0.047,0.831,0.457,0.803,0.612,0.997,0.111,1.0065
subj_003_0007,141,154,0,1.01,301,0.871,0.583,0.153,0.063,-0.002,0.001,2.745,0.409,0.637,0.092,0.222,0.079,0.575,0.446,1.215,0.807,0.868,0.33,0.656
subj_003_0008,139,127,1,1.02,48,-0.843,0.387,0.17,0.057,-0.013,0.004,2.585,0.367,0.538,0.061,1.09,0.179,0.424,0.346,2.071,0.812,1.863,0.178,2.0215
subj_003_0009,141,144,0,1.01,461,0.421,0.276,0.258,0.067,-0.009,0.002,4.604,0.572,0.462,0.054,0.627,0.144,0.548,0.287,1.288,0.821,1.693,0.299,1.4735
subj_003_0010,141,143,0,1.01,209,0.42,0.474,0.369,0.094,-0.009,0.002,3.21,0.544,0.63,0.083,0.876,0.111,0.668,0.434,1.143,0.767,1.584,0.319,1.668
subj_003_0011,141,407,362,1.02,115,-0.14,0.392,0.192,0.061,-0.023,0.003,1.703,0.162,0.55,0.056,0.78,0.036,0.541,0.371,1.109,0.597,0.853,0.075,1.2065
subj_003_0012,141,132,0,1.0,674,-0.982,0.271,0.347,0.053,-0.003,0.001,2.749,0.244,0.713,0.044,0.773,0.052,0.289,0.221,0.782,0.577,0.655,0.121,1.1005
subj_003_0013,141,2415,379,1.78,7,-1.312,0.317,0.245,0.042,-0.022,0.002,1.843,0.155,0.551,0.045,0.728,0.033,0.297,0.239,1.871,0.416,0.895,0.058,1.1755
subj_003_0014,140,153,0,1.0,828,0.765,0.321,0.052,0.049,0.0,0.001,4.308,0.896,0.853,0.04,0.425,0.025,0.213,0.163,1.502,0.856,0.041,0.033,0.4455
subj_003_0015,140,260,0,1.0,559,0.225,0.196,0.234,0.039,-0.004,0.001,4.47,0.451,0.628,0.051,1.04,0.099,0.241,0.181,1.277,0.831,0.325,0.186,1.2025
subj_003_0016,140,194,0,1.0,287,1.299,0.572,0.043,0.042,-0.001,0.001,5.095,0.625,0.609,0.156,0.736,0.186,0.475,0.344,1.436,0.873,0.864,0.248,1.168
subj_003_0017,141,195,2,1.01,158,-1.423,0.621,0.188,0.067,-0.005,0.002,2.412,0.324,0.337,0.074,0.351,0.071,0.824,0.492,1.14,0.779,1.429,0.174,1.0655
subj_003_0018,141,220,0,1.0,743,0.455,0.169,0.12,0.026,-0.001,0.001,5.017,0.464,0.478,0.067,1.428,0.217,0.181,0.128,1.394,0.865,1.809,0.182,2.3325
subj_003_0019,141,277,0,1.01,411,2.504,0.877,0.007,0.089,-0.001,0.002,3.57,0.972,0.69,0.112,0.396,0.052,0.868,0.551,1.261,0.819,0.151,0.078,0.4715
