tag,n_trials,sec,div,max_rhat,min_ess,v_Intercept,v_Intercept_sd,v_val,v_val_sd,v_tim,v_tim_sd,a,a_sd,z,z_sd,t,t_sd,t0
subj_003_0001,141,24,0,1.0,402,0.99,0.257,0.064,0.038,-0.001,0.001,3.449,0.806,0.691,0.064,0.389,0.039,0.389
subj_003_0002,138,17,0,1.0,809,0.406,0.151,0.101,0.023,-0.001,0.0,4.191,0.325,0.506,0.05,1.075,0.109,1.075
subj_003_0003,119,14,0,1.0,692,0.926,0.302,0.208,0.041,-0.009,0.001,3.703,0.395,0.653,0.051,0.824,0.045,0.824
subj_003_0004,141,16,0,1.0,922,0.478,0.208,0.233,0.034,-0.004,0.001,2.946,0.167,0.455,0.038,0.884,0.021,0.884
subj_003_0005,141,16,0,1.0,1028,1.305,0.285,0.228,0.037,-0.008,0.001,3.069,0.2,0.442,0.041,1.045,0.014,1.045
subj_003_0006,141,15,0,1.0,755,-0.078,0.177,0.267,0.031,-0.003,0.001,2.856,0.17,0.485,0.042,0.533,0.031,0.533
subj_003_0007,141,15,0,1.01,695,0.76,0.225,0.089,0.031,-0.001,0.001,2.95,0.225,0.55,0.052,0.281,0.051,0.281
subj_003_0008,139,15,0,1.0,769,-0.579,0.173,0.094,0.025,-0.004,0.001,3.156,0.162,0.537,0.035,1.175,0.058,1.175
subj_003_0009,141,18,0,1.0,920,0.214,0.134,0.158,0.023,-0.005,0.001,4.452,0.294,0.479,0.035,0.893,0.095,0.893
subj_003_0010,141,17,0,1.01,898,0.271,0.177,0.188,0.028,-0.005,0.001,3.578,0.248,0.572,0.045,0.958,0.062,0.958
subj_003_0011,141,13,0,1.0,1065,-0.185,0.233,0.092,0.033,-0.008,0.001,2.274,0.104,0.554,0.034,0.85,0.011,0.85
subj_003_0012,141,17,0,1.01,493,-0.609,0.185,0.279,0.032,-0.003,0.001,2.998,0.178,0.613,0.036,0.823,0.039,0.823
subj_003_0013,141,13,0,1.01,567,-0.858,0.243,0.124,0.034,-0.006,0.001,2.304,0.121,0.528,0.041,0.777,0.036,0.777
subj_003_0014,140,16,0,1.0,679,0.713,0.285,0.047,0.045,0.001,0.001,4.31,0.915,0.858,0.037,0.443,0.016,0.443
subj_003_0015,140,18,0,1.0,944,0.192,0.149,0.217,0.033,-0.004,0.001,4.313,0.324,0.611,0.043,1.13,0.066,1.13
subj_003_0016,140,18,0,1.01,888,1.076,0.187,0.028,0.025,-0.001,0.001,5.204,0.53,0.567,0.069,0.778,0.122,0.778
subj_003_0017,141,15,0,1.0,947,-0.818,0.187,0.093,0.026,-0.002,0.001,2.908,0.153,0.434,0.042,0.406,0.045,0.406
subj_003_0018,141,19,0,1.01,930,0.496,0.13,0.092,0.019,-0.001,0.0,5.521,0.301,0.403,0.05,1.502,0.193,1.502
subj_003_0019,141,20,0,1.0,582,2.488,0.376,-0.066,0.048,-0.001,0.001,3.823,1.047,0.706,0.091,0.428,0.038,0.428
subj_003_0020,141,15,0,1.0,1051,0.542,0.223,0.216,0.037,-0.002,0.001,2.785,0.164,0.429,0.042,0.836,0.015,0.836
subj_003_0021,141,14,0,1.0,1023,0.047,0.177,0.239,0.031,-0.004,0.001,3.075,0.193,0.535,0.039,0.923,0.041,0.923
subj_003_0022,140,18,0,1.0,489,1.251,0.253,0.075,0.027,-0.0,0.001,4.662,0.669,0.437,0.077,0.291,0.141,0.291
subj_003_0023,141,13,0,1.01,566,1.007,0.3,0.07,0.047,-0.002,0.001,2.134,0.326,0.721,0.042,0.374,0.012,0.374
