config_id,true_a,post_mean_a,post_median_a,post_std_a,hdi_lo_a,hdi_hi_a,coverage_a,true_z,post_mean_z,post_median_z,post_std_z,hdi_lo_z,hdi_hi_z,coverage_z,true_v,post_mean_v,post_median_v,post_std_v,hdi_lo_v,hdi_hi_v,coverage_v,true_t,post_mean_t,post_median_t,post_std_t,hdi_lo_t,hdi_hi_t,coverage_t,true_sv,post_mean_sv,post_median_sv,post_std_sv,hdi_lo_sv,hdi_hi_sv,coverage_sv,true_sa,post_mean_sa,post_median_sa,post_std_sa,hdi_lo_sa,hdi_hi_sa,coverage_sa,true_st,post_mean_st,post_median_st,post_std_st,hdi_lo_st,hdi_hi_st,coverage_st,rhat_a,rhat_z,rhat_v,rhat_t,rhat_sv,rhat_sa,rhat_st,n_divergences,n_trials,mean_rt,accuracy,elapsed_seconds
0,1.8281729515853278,2.2172828,1.8454868,0.7258235,1.6314328908920288,3.4642882347106934,1,0.599142707195047,0.5279255,0.594019,0.13561535,0.2960077226161957,0.644529402256012,1,-1.5558049299764283,-1.2594712,-1.6628404,0.9643882,-2.2768471240997314,0.34854376316070557,1,0.19620186866128808,0.21480367,0.21015607,0.024065636,0.17880119383335114,0.24876521527767181,1,1.9271217391329014,2.5909104,1.9762278,1.3661908,1.2337579727172852,4.926442623138428,1,1.099263996290986,0.6926719,0.6789121,0.36909428,0.04970775544643402,1.124544382095337,1,0.1043055293594856,0.21100415,0.18988997,0.066519715,0.12649689614772797,0.31470781564712524,0,1.5876358780249045,1.5559440146560766,1.5856476359293588,1.506006187132832,1.5972107481608937,1.2945364648215718,1.5844383725654037,0,500,0.7053519289892781,0.242,23850.442672014236
2,1.8049189812417534,1.944135,1.935224,0.12912148,1.719016671180725,2.209965944290161,1,0.3381395232023647,0.31301087,0.31275874,0.02018838,0.2723856568336487,0.3524565100669861,1,1.6655601793517736,2.0010982,1.9820681,0.27158824,1.504919171333313,2.5475661754608154,1,0.21020200046541976,0.21893482,0.21875644,0.009960332,0.19894783198833466,0.23805248737335205,1,2.0546921513655807,2.5078487,2.489705,0.43304083,1.672539234161377,3.381845474243164,1,0.8983704970835037,0.43081135,0.38571024,0.27672616,0.0074263825081288815,0.9502817988395691,1,0.04655238730633736,0.077344984,0.077604085,0.025067212,0.024409936740994453,0.12366880476474762,1,1.004392776567095,1.0025136312529705,1.003227507965367,1.0024918535943252,1.0057800440165967,1.0017928565358514,1.001767036300428,0,500,0.7205688354600331,0.702,1739.6204540729523
4,2.3078088997825668,2.3402476,2.322322,0.20854296,1.9538687467575073,2.7428669929504395,1,0.4877164728630793,0.44622526,0.44785577,0.053940464,0.340322345495224,0.5535416007041931,1,-2.1419013640848217,-2.0480335,-2.0253386,0.45913136,-2.9320285320281982,-1.1623724699020386,1,0.39757528096020833,0.40912294,0.40643996,0.027972037,0.3582397401332855,0.46650782227516174,1,1.4082206808970867,1.2934874,1.2868104,0.33404937,0.6379149556159973,1.9444594383239746,1,0.7571143138043573,0.7864117,0.73174,0.45152414,0.016039220616221428,1.6175379753112793,1,0.05427147968196175,0.06932953,0.06681839,0.040732536,7.973366336955223e-06,0.1397990733385086,1,1.0057513634543835,1.0070877455094316,1.008454777852867,1.0050580382380683,1.0075361115016332,1.0000848255576273,1.001282591989679,0,500,1.0124688506849897,0.076,2827.0154531002045
6,1.9291541891792834,2.0309017,2.026395,0.1738719,1.7039260864257812,2.3962149620056152,1,0.5777846718311193,0.58311814,0.58409417,0.028778818,0.5279685258865356,0.6415771245956421,1,-1.2397861747728975,-1.5793562,-1.5671871,0.34026733,-2.2953848838806152,-0.9413158893585205,1,0.28708136039174864,0.30381325,0.3031944,0.02133353,0.26480546593666077,0.3482418954372406,1,1.3948855952255992,2.0031767,1.9805663,0.5391275,0.992162823677063,3.135934829711914,1,1.2987180604081028,0.69179213,0.65297306,0.3972668,0.029230639338493347,1.3952555656433105,1,0.1029259793162931,0.21296017,0.21319178,0.046975575,0.12874647974967957,0.309946209192276,0,1.0039755161283097,1.0018438764906314,1.0020188286593381,1.0019029698002306,1.0033129503562406,1.0017835234371315,1.0016999923010537,0,500,0.9027031724360225,0.264,2038.756916999817
8,1.3266575161318632,1.4688313,1.4627258,0.11293291,1.251046895980835,1.6874221563339233,1,0.37429760883179714,0.48783255,0.48977935,0.043250963,0.40001702308654785,0.5664200186729431,0,-1.0369235075802723,-2.3555768,-2.3308158,0.5149488,-3.3283863067626953,-1.3275392055511475,0,0.43873194115166847,0.4210066,0.42095038,0.015795706,0.39141613245010376,0.45333513617515564,1,0.7790237704167724,2.0063791,1.9818878,0.51494616,1.0374655723571777,3.0741212368011475,0,1.1215926790723156,0.5333068,0.5134623,0.29451764,0.015109744854271412,1.0525147914886475,0,0.14591586376068588,0.16518122,0.16592683,0.025439728,0.1131913885474205,0.21411015093326569,1,1.004341743377204,1.0045744147490003,1.0035439921232476,1.0048141542046332,1.0021652540933284,1.0017404339876836,1.0022120830379395,0,500,0.7278218532193879,0.158,1919.7861881256104
10,1.2090505139887409,1.4642842,1.4652948,0.122230485,1.2220969200134277,1.70396089553833,0,0.5759690769625814,0.57198244,0.5722729,0.020406777,0.5322285890579224,0.6111657619476318,1,-0.9806142583347826,-1.2063535,-1.1938672,0.2938524,-1.758429765701294,-0.6227788329124451,1,0.2605755045132077,0.24908763,0.24870825,0.007620451,0.23332490026950836,0.2629944980144501,1,2.482083943767354,3.7651432,3.7726364,0.7252989,2.352889060974121,5.244991302490234,1,0.8413606611720414,0.69345385,0.7259869,0.3166423,0.03980271518230438,1.1810890436172485,1,0.06274051727391763,0.03899388,0.038273014,0.020916702,8.387965499423444e-05,0.07580781728029251,1,1.0020492147749158,1.0027999123137288,1.0034328468892921,1.0011045739951094,1.0032441861813737,1.0018070053716512,1.0031383063790513,0,500,0.5417740761060841,0.4,2546.8621649742126
12,0.6979374690805993,1.7704253,1.8287065,1.0685589,0.6671971082687378,2.8595197200775146,1,0.5542545661952432,0.5569133,0.52184355,0.07998671,0.49268126487731934,0.6914722323417664,1,0.4393715930388842,0.23703323,0.43008327,0.5265716,-0.6186087131500244,0.7069186568260193,1,0.49053988094586864,0.43184847,0.4325649,0.054316465,0.36077484488487244,0.4901353716850281,0,1.7210837301014077,4.3998737,5.8184223,3.5055184,0.1550012230873108,8.491464614868164,1,0.08069839111561884,0.4553399,0.5467279,0.31622213,0.04626866802573204,0.9093276262283325,1,0.1053377752663434,0.13840514,0.13158746,0.05661715,0.08224406838417053,0.23221486806869507,1,2.2428332770062327,1.970561531038517,1.8336726144399234,2.5425701884022534,2.2751522273712164,2.143140702954519,2.6067550192829767,0,500,0.6008331140898817,0.588,46541.35117506981
14,0.8759604188014305,0.91943604,0.9170494,0.03502354,0.8549240827560425,0.9908947944641113,1,0.6295190736143292,0.5891901,0.58969057,0.027357131,0.5351898670196533,0.6419969201087952,1,1.2666227672813104,1.5386152,1.5134184,0.23763667,1.1176844835281372,2.0186080932617188,1,0.27817788344449546,0.26568273,0.26612866,0.0067641777,0.25261390209198,0.2789124846458435,1,0.6449813324382931,0.53018373,0.4570163,0.38446,4.770306986756623e-05,1.243355393409729,1,0.6001072862941683,0.22389142,0.20633158,0.1397241,0.0010183294070884585,0.4780236780643463,0,0.09166410046232917,0.08093472,0.08139908,0.01198924,0.05623180419206619,0.10309936106204987,1,0.9999989829407466,1.002177196089148,1.0015603755885847,1.0005808447370028,1.0021917947408385,1.0039407529460584,1.0004892037797777,0,500,0.42828795795921903,0.848,1991.412712097168
16,0.7238092565844599,1.229828,0.7239614,0.89078593,0.6644689440727234,2.771942138671875,1,0.6950434084273723,0.64271283,0.6477494,0.03248903,0.5972455143928528,0.6931813955307007,0,-1.334051222493943,-0.93459165,-0.9608853,0.31848538,-1.4795680046081543,-0.5282539129257202,1,0.2738507224450614,0.25156155,0.26433825,0.026336024,0.20646320283412933,0.27318596839904785,0,2.6336211594502337,3.6198442,1.585468,4.0740952,0.16832232475280762,10.528412818908691,1,0.5535742891732268,0.5432872,0.41465077,0.3517679,0.13376416265964508,1.1201353073120117,1,0.06778838380572702,0.06445362,0.05982357,0.016024234,0.04369460791349411,0.08957363665103912,1,1.5946572139629909,1.5637533183767278,1.4497347140079222,1.5329748614350347,1.5270950683346802,1.5999589701984076,1.5278051150791458,0,500,0.3791379390500424,0.488,26608.90241098404
18,1.1651508764610548,1.7462602,1.1716033,1.0243945,1.0865281820297241,3.5199673175811768,1,0.4751841765927115,0.47417817,0.50336766,0.066675164,0.3618028163909912,0.539803147315979,1,0.5488758869655519,0.48198023,0.42721134,0.21452536,0.18089142441749573,0.7963255047798157,1,0.3516300866349827,0.31948003,0.34333688,0.049295746,0.23506392538547516,0.3617703318595886,1,0.9952201674149741,1.8304172,0.89452356,1.9800702,0.08528955280780792,5.221911907196045,1,0.08210340096598585,0.66410947,0.32312116,0.70549756,0.05238303542137146,1.8633215427398682,1,0.11993767965044028,0.12646598,0.1041148,0.055712406,0.06541070342063904,0.2174254059791565,1,1.5389064711285376,1.528617486796003,1.4703948635522621,1.5472559357381923,1.5952501296354382,1.5921944577958558,1.5465380781561806,1,500,0.6559918518097893,0.602,16640.890985250473
